,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,
Sony Trinitron Color Receiver/Monitor,Audio-Visual,A/V,Audio & Visual Display,Television,Sony Trinitron Color Receiver/Monitor,,Sony,CVM-1250,,,,,,1977,,12677,,,,,,UHF/VHF,,,,2013.06.31,,,,
MGA/Mitsubishi CS-1944R (Color Television),Audio-Visual,A/V,Audio & Visual Display,Television,MGA/Mitsubishi CS-1944R,,MGA/Mitsubishi,CS-1944R,,,,,,,,,,,,,,,,,,2013.06.46,,,,
RCA Television,Audio-Visual,A/V,Audio & Visual Display,Television,RCA XL 100,,RCA,XL 100,,,,,,1998,,CTC185AB,,,,,,Coaxial and RCA connections,,,,2013.06.98,2013-12-11,,,
iPod (4th Generation Classic),Audio-Visual,Audio,Portable Audio Player,Digital Audio,iPod,,Apple,,,,,,,2004,,,,,,,,,,,,2013.07.288,,Lori Emerson,,
Toshiba 32” CRT Television,Audio-Visual,A/V,Audio & Visual Display,Television,CX32G60,,Toshiba,,,,,,,,,,,,,,,,,,,2013.07.354,,Justin Harned (2013 CU MA Grad),,
To Dream Tomorrow: Ada Byron Lovelace:,Audio-Visual,A/V,Audio & Visual Recording,DVD,To Dream Tomorrow: Ada Byron Lovelace,,Flare Productions,,,,,,,2003,,,,,,,,,,,,2013.07.449,,,,
Star Trek V: The Final Frontier (Audio Drama),Audio-Visual,Audio,Audio Recording,Cassette Tape,Star Trek V: The Final Frontier: Featuring a Dramatic Reading by Leonard Nimoy and George Takei Enhanced with Sound Effects and an Original Score!,,Simon & Schuster Audioworks,,,,,,,1989,$7.95,,,,,,,,,,,2013.07.457,,Aaron Kuhn,An Audio Adaptation by J.M. Dillard. Based on the Screenplay by David Loughery. Story by William Shatner & Harve Bennett & David Loughery.,
Computer Pioneers and Pioneer Computer,Audio-Visual,A/V,Audio & Visual Recording,DVD,Computer Pioneers and Pioneer Computer,,Computer History Museum,,,,,,,2009,,,,,,,,,,,,2013.07.458,,,,
Babbage: Difference Engine No. 2,Audio-Visual,A/V,Audio & Visual Recording,DVD,Babbage: Difference Engine No. 2,,Computer History Museum,,,,,,,2009,,,,,,,,,,,,2013.07.460,,,,
Magnavox RS5554 AK03,Audio-Visual,A/V,Audio & Visual Display,Television,Magnavox RS5554 AK03,,Magnavox,RS5554 AK03,,,,,,,,80080449,,,,,,,,,,2013.09.1,,,,
Sony Trinitron Television,Audio-Visual,A/V,Audio & Visual Display,Television,Trinitron Color TV,,Sony,KV-32S10,,,,,,1994,,7009444,,,,,,RCA and coaxial inputs,,,,2013.12.34,2013-12-11,Kyle Bickoff,,
Portable Color Television with Tuner,Audio-Visual,A/V,Audio & Visual Display,Television,Television with AM/FM Tuner,,Emerson,TC0561,,,,,,1993,,(21)50270226010930600932Y (also 010-30600932),,,,,,"DC, AC, battery power connections",,,,2013.12.98,,,,
Slingbox Classic,Audio-Visual,A/V,Audio & Visual Reception,Television Receiver,Slingbox,,Sling Media,SB100,,,,,,2005,$199.99,SB100-100-60104636,,,,256 MB,Intel Pentium IV 1Ghz,"1 RJ-45 Ethernet Port, S-Video Pair (1-in/1-0ut), A/V Pair (1-in/1-out), 1 Female Coax Connection",,,,2014.07.29,,Brad Feld,,
Lytro Light Field Camera,Audio-Visual,Visual,Image-making,Still Digital Camera,Lytro Light Field Camera,,Lytro,M01-100002,,,,,,2012,$499.99,A202210056,,,8GB,,,Mico-USB Port,,,,2014.08.10,,Brad Feld,Missing micro-USB cord for charging and uploading.,
Zenith K820Y solid-state television,Audio-Visual,A/V,Audio & Visual Display,Television,Zenith K820Y television,,,,,,,,,1978,,,,,,,,UHF/VHF,,,,2014.08.44,,,,
Zenith BT120A 14-inch television,Audio-Visual,A/V,Audio & Visual Display,Television,Zenith BT120A television,,,,,,,,,1983,,,,,,,,UHF/VHF,,,,2014.08.45,,,,
Supra Handy TV,Audio-Visual,A/V,Audio & Visual Display,Television,Supra Handy TV,,UHF,,,,,,,,,,,,,,,Coax,,,,2014.10.34,,Don Witte,,
Delineascope,Audio-Visual,Visual,Visual Display,Still Projector,Delineascope,,Spencer Lens Company,0,,,,,,1917,,263,,,,,,,,,,2014.10.58,,,,
Selectroslide,Audio-Visual,Visual,Visual Display,Still Projector,Selectroslide,,Spindler and Sauppe,SLR-1200,,,,,,1957,,7314,,,,,,,,,,2014.10.59,,,,
Keystone Overhead Projector,Audio-Visual,Visual,Visual Display,Still Projector,Keystone Overhead Projector,,Keystone,1055,,,,,,,,3674,,,,,,,,,,2014.10.60,,,,
Bausch and Lomb Optical Co. Magic Lantern,Audio-Visual,Visual,Visual Display,Still Projector,Bausch and Lomb Optical Co. Magic Lantern,,Bausch and Lomb Optical Co.,,,,,,,,,,,,,,,,,,,2014.10.61,,,,
Charles Beseler Company E.F. Series III “15.5”,Audio-Visual,Visual,Visual Display,Still Projector,Charles Beseler Company E.F. Series III “15.5”,,Charles Beseler Company,,,,,,,,,,,,,,,,,,,2014.10.62,,,,
Bausch and Lomb Optical Co. Projector,Audio-Visual,Visual,Visual Display,Still Projector,Bausch and Lomb Optical Co. Projector,,Bausch and Lomb Optical Co.,,,,,,,,,670,,,,,,,,,,2014.10.63,,,,
Edison A-250 Diamond Disk Phonograph,Audio-Visual,Audio,Stationary Audio Player,Phonograph,Edison A-250 Diamond Disk Phonograph,,Edison,A-250,,,,,,1913,,4-349,,,,,,,,,,2015.02.88,,,,
Califone 1925,Audio-Visual,Audio,Portable Audio Player,Record Player,Califone 1925,,Califone Inc.,1925,,,,,,1960,,JA-00631,,,,,,,,,,2015.02.89,,,,
“I Want to Go Back to Michigan”/ “In Siam-Wars of the World”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“I Want to Go Back to Michigan”/ “In Siam-Wars of the World”, Billy Murray and Chorus, Irving Berlin/Manuel Klein",,Edison,,,,,,,1912,$1.00,50198,,,,,,,,,Edison Disc Phonograph,2015.02.90.1,,,,
“A Call to Arms”/ “Your King and Country Want You”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“A Call to Arms”/ “Your King and Country Want You”, Peerless Quartet/ Helen Clark",,Edison,,,,,,,1914,$1.50,80232,,,,,,,,,Edison Disc Phonograph,2015.02.90.10,,,,
“Scenes That Are - Brightest Fantasia” / “The Last Rose of Summer”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Scenes That Are - Brightest Fantasia” / “The Last Rose of Summer”, Thomas Moore",,Edison,,,,,,,1912,$1.50,80116,,,,,,,,,Edison Disc Phonograph,2015.02.90.11,,,,
“A Perfect Day” / “Somewhere a Voice is Calling”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“A Perfect Day” / “Somewhere a Voice is Calling”, Mixed Quartet Orchestra / Elizabeth Spencer and Vernon Archibald, Carrie Jacobs-Bond / Arthur F. Tate",,Edison,,,,,,,1912,$1.50,80125,,,,,,,,,Edison Disc Phonograph,2015.02.90.12,,,,
“Light Cavalry Overture”/ “La Danseuse Intermezzo”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Light Cavalry Overture”/ “La Danseuse Intermezzo”, Franz von Suppe, Franz von Blom",,Edison,,,,,,,2014,$1.50,80096,,,,,,,,,Edison Disc Phonograph,2015.02.90.13,,,,
“Her Bright Smile Haunts Me Still” / “Mary (Kind and Gentle is She)”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Her Bright Smile Haunts Me Still” / “Mary (Kind and Gentle is She)"", John Young and Chorus / Reed Miller, W.T. Wrighton / T. Richardson",,Edison,,,,,,,1914,$1.50,80122,,,,,,,,,Edison Disc Phonograph,2015.02.90.16,,,,
“The Rosary” / “When the Robins Nest Again”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“The Rosary” / “When the Robins Nest Again”, Christine Miller and Chorus, Ethelbert Nevin / Frank Howard",,Edison,,,,,,,1914,$1.50,80100,,,,,,,,,Edison Disc Phonograph,2015.02.90.18,,,,
“Largo”/ “Broken Heart”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Largo”/ “Broken Heart”, Handel/ Ernest Gillet",,Edison,,,,,,,1912,$1.00,50053,,,,,,,,,Edison Disc Phonograph,2015.02.90.19,,,,
“Alone in the Deep”/ “As Long as the World Rolls On”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Alone in the Deep”/ “As Long as the World Rolls On”, Male Quartet/ Reed Miller, Johann Schmid/ Ernest Ball",,Edison,,,,,,,1912,$1.50,80186,,,,,,,,,Edison Disc Phonograph,2015.02.90.2,,,,
“Rescue the Perishing”/ “O Morning Land”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Rescue the Perishing”/ “O Morning Land”, John Young and Frederick Wheeler/ Elizabeth Spencer and John Young, William Doane/ Edward Phelps",,Edison,,,,,,,1914,$1.50,80115,,,,,,,,,Edison Disc Phonograph,2015.02.90.22,,,,
“My Dream of Dreams - Pretty Mrs. Smith” / “Mrs. Sippi You’re A Grand Old Girl - Pretty Mrs. Smith”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“My Dream of Dreams - Pretty Mrs. Smith” / “Mrs. Sippi You’re A Grand Old Girl - Pretty Mrs. Smith”, Marie Kaiser / Helen Clark and Billy Murray, Carroll and Robyn / Belle Ashlyn",,Edison,,,,,,,1912,$1.50,80187,,,,,,,,,Edison Disc Phonograph,2015.02.90.23,,,,
“Nae Faea Isso! Maxixe” / “Isle D’Amour Waltz Hesitation”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Nae Faea Isso! Maxixe” / “Isle D’Amour Waltz Hesitation”, Duque-Sarrablo / Leo Edwards",,Edison,,,,,,,,$1.00,50141,,,,,,,,,Edison Disc Phonograph,2015.02.90.24,,,,
“Liebestraum” / “Blue Danube Waltz”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Liebestraum” / “Blue Danube Waltz”, Walter Chapman, Listz / Strauss-Chapman",,Edison,,,,,,,,,80702,,,,,,,,,Edison Disc Phonograph,2015.02.90.28,,,,
“Medley of American Patriotic Airs” / “Medley of American War Songs”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Medley of American Patriotic Airs” / “Medley of American War Songs”, New York Military Band",,Edison,,,,,,,1914,$1.00,50212,,,,,,,,,Edison Disc Phonograph,2015.02.90.3,,,,
“Dreaming - Waltz Hesitation” / “Adele - Waltz Hesitation”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Dreaming - Waltz Hesitation” / “Adele - Waltz Hesitation”, Archibald Joyce / Jean Briquet",,Edison,,,,,,,1912,$1.00,50146,,,,,,,,,Edison Disc Phonograph,2015.02.90.4,,,,
“Melanie”/ “She is Far From the Land”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Melanie”/ “She is Far From the Land”, Reed Miller/ Thomas Chalmers, Eric Coates/ Frank Lambert",,Edison,,,,,,,1912,$1.50,80173,,,,,,,,,Edison Disc Phonograph,2015.02.90.5,,,,
“Looking This Way” / “Some Sweet Day By and By”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“Looking This Way” / “Some Sweet Day By and By”, Metropolitan Quartet, Van De Venter / Crosby-Doane",,Edison,,,,,,,1916,$1.70,80501,,,,,,,,,Edison Disc Phonograph,2015.02.90.6,,,,
“America (My Country ‘Tis of Thee”/ “The Star-Spangled Banner”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“America (My Country ‘Tis of Thee)”/ “The Star-Spangled Banner”, Mixed Quartet/ Thomas Chalmers, Francis Scott Key",,Edison,,,,,,,1912,$1.50,80172,,,,,,,,,Edison Disc Phonograph,2015.02.90.7,,,,
“I’m On My Way To Mandalay” / “I’ve a Cosy Little Cottage in the Country”,Audio-Visual,Audio,Audio Recording,Edison Diamond Disc Record,"“I’m On My Way To Mandalay” / “I’ve a Cosy Little Cottage in the Country”, Elizabeth Spencer and Walter van Brunt / Walter van Brunt, Fred Fischer / Arnold and Brown",,Edison,,,,,,,1912,$1.50,80159,,,,,,,,,Edison Disc Phonograph,2015.02.90.9,,,,
Travelers & Thieves,Audio-Visual,Audio,Audio Recording,Cassette Tape,Travelers & Thieves,,A&M Records,,,,,,,1991,,CS 5373,,,,,,,,,,2015.04.03,,,,
Gipsy Kings,Audio-Visual,Audio,Audio Recording,Cassette Tape,Gipsy Kings,,Elektra,,,,,,,1988,,60845-4,,,,,,,,,,2015.04.04,,,,
Barenaked Ladies,Audio-Visual,Audio,Audio Recording,Cassette Tape,Barenaked Ladies EP,,Time Warner Music,,,,,,,1988,,24 50554,,,,,,,,,,2015.04.05,,,,
Automatic for the People,Audio-Visual,Audio,Audio Recording,Cassette Tape,Automatic for the People,,Time Warner Music,,,,,,,1988,,24 50554,,,,,,,,,,2015.04.06,,,,
Panasonic LS-SX320,Audio-Visual,Audio,Portable Audio Player,CD Player,Panasonic LS-SX320,,Panasonic,LS-SX320,,,,,,2003,,WM3CA004711,,,,,,,DC In 4.5V,,,2015.04.07,,,Charger not included.,
Sony Walkman,Audio-Visual,Audio,Portable Audio Player,Cassette,Sony Walkman,,Sony,WM-FX197,,,,,,,,1096989,,,,,,,,,,2015.04.08,,,,
Sony Cassette-Corder,Audio-Visual,Audio,Portable Audio Player,Cassette,Sony Cassette-Corder,,Sony,TCM-260,,,,,,,,15376,,,,,,,DC IN 6V,,,2015.04.09,,,Charger not included. Visible battery acid damage. Includes leather case.,
Dukane A-V Matic 35mm Filmstrip Viewer,Audio-Visual,Visual,Visual Display,Still Projector,Dukane A-V Matic,,Dukane,28A1C,,,,,,1982,,1051509,,,,,,,,,,2015.04.11,,,,
Dukane 653 Overhead Projector,Audio-Visual,Visual,Visual Display,Still Projector,Dukane 653,,Dukane,28A653A,,,,,,1994,,1802680,,,,,,,,,,2015.04.12,,,Includes carrying sleeve.,
Sanyo Transcriber TRC 9010,Audio-Visual,Audio,Audio Recorder,Cassette,Sanyo Transcriber TRC 9010,,Sanyo,TRC 9010,,,,,,,,3423673,,,,,,,,,,2018.02.30,,,Missing foot pedal,
Casio Exilim,Audio-Visual,Visual,Image-making,Still Digital Camera,Casio Exilim 8.1 mega pixel digital camera,,Casio Computer Co. Ltd.,Exilim,,,,,,2007,$299.99,33007896A,,,,,,USB/AV,,YouTube Uploader for Casio software,,2018.03.14,,,Comes in Denali tech case.,
iPod Nano (4GB),Audio-Visual,Audio,Portable Audio Player,Digital Audio,iPod Nano,,Apple,"(2nd Generation, Nano)",,,,,,2006,$199,5U6521RQVQH,,,,,,"USB; dock, headphone",N/A,MacOS X,,2018.03.15,,,,
iPod Classic (120GB),Audio-Visual,Audio,Portable Audio Player,Digital Audio,iPod Classic,,Apple,"(6th Generation, Classic)",,,,,,2007,$249,8K917HM2C7,,,,,,Dock connector; 3.5-mm stereo headphone jack,N/A,MacOS X,,2018.03.16,,,,
Yashica-D TLR Camera,Audio-Visual,Visual,Image-making,Still Film Camera,Yashica-D TLR Camera,,Yashica,D,,,,,,1958,,,,,,,,,,,,2018.04.16,,,,
Polaroid 420 Automatic Land Camera,Audio-Visual,Visual,Image-making,Still Film Camera,Polaroid 420 Automatic Land Camera,,Polaroid,420 Automatic Land Camera,,,,,,1971,,,,,,,,,,,,2018.04.17,,,,
Van Halen Cassette Tape,Audio-Visual,Audio,Audio Recording,Cassette Tape,Van Halen 1984,,Warner Brothers,,,,,,,1984,,,,,,,,,,,,2019.04.1,,Will Tuttle,,
Daryl Hall John Oates Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Daryl Hall John Oates - Marigold Sky,,PUSH Records,,,,,,,1997,,,,,,,,,,,,2019.04.10,,Will Tuttle,,
Compilation Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,The Worlds Greatest Bluegrass Bands Vol. 2,,CMH Records,,,,,,,1977,,,,,,,,,,,,2019.04.11,,Will Tuttle,,
Sandy Owen Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Sandy Owen - Boogie Woogie Rhythm and Blues,,Ivory Records,,,,,,,1986,,,,,,,,,,,,2019.04.12,,Will Tuttle,,
Bon Jovi Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Bon Jovi - Slippery When Wet,,PolyGram Records Inc.,,,,,,,1986,,,,,,,,,,,,2019.04.121,,Will Tuttle,,
Frankie Yankovic Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Frankie Yankovic and his Yanks - Polka Time,,Sony Music Special Products,,,,,,,,,,,,,,,,,,,2019.04.122,,Will Tuttle,,
Air Supply Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Air Supply - The One That You Love,,Arista Records Inc.,,,,,,,1981,,,,,,,,,,,,2019.04.123,,Will Tuttle,,
Van Morrison Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Van Morrison - Moondance,,Warner Brothers,,,,,,,1970,,,,,,,,,,,,2019.04.124,,Will Tuttle,,
Bonham Cassettte,Audio-Visual,Audio,Audio Recording,Cassette Tape,Bonham - The Disregard of Timekeeping,,CBS Records Inc.,,,,,,,1989,,,,,,,,,,,,2019.04.125,,Will Tuttle,,
Handel's Messiah Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Handel's Messiah - Over 100 Strings & Voices,,"Classic Christmas, Music Inc.",,,,,,,1977,,,,,,,,,,,,2019.04.126,,Will Tuttle,,
Genesis Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Genesis - Three Sides Live,,Atlantic Recording Corporation,,,,,,,1982,,,,,,,,,,,,2019.04.127,,Will Tuttle,,
Special Forces Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Special Forces - 38 Special,,"A&M Records, Inc.",,,,,,,1982,,,,,,,,,,,,2019.04.13,,Will Tuttle,,
Sony Stereo Cassette Deck,Audio-Visual,Audio,Stationary Audio Player,Cassette Deck,Sony Stereo Cassette Deck,,Sony,TC-K5,,,,,,1978,,,,,,,,,,,,2019.04.138,,Priscilla Wagener,,
Philips HiFi Record Player,Audio-Visual,Audio,Stationary Audio Player,Record Player,Philips Turntable,,Philips,GA312,,,,,,,,,,,,,,,,,,2019.04.139,,Priscilla Wagener,,
Sony Walkman,Audio-Visual,Audio,Portable Audio Player,Cassette,Sony Radio Cassette Player,,Sony,WM-FX20,,,,,,1991,,,,,,,,,,,,2019.04.141,,Priscilla Wagener,,
Vector Research Stereo Receiver,Audio-Visual,Audio,Stationary Audio Player,AM/FM Radio,Vector Research VR-2200A FM/AM Stereo Receiver,,Vector Research,VR-2200A,,,,,,1983,,,,,,,,,,,,2019.04.142,,Priscilla Wagener,includes antenna cabling,
Riverdance Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,"Bill Whelan - Riverdance, Music from the show",,Atlantic Recording Corporation,,,,,,,1995,,,,,,,,,,,,2019.04.15,,Will Tuttle,,
Kodak Instamatic Camera,Audio-Visual,Visual,Image-making,Still Film Camera,Kodak Instamatic Camera,,Eastman Kodak Company,104,,,,,,1968,15.95,,,,,,,flash cube,AAA batteries,,126 film cartridge,2019.04.176,,,"came w/ 2019.04.177, in bag w/ printed materials",
Kodak Instamatic Camera,Audio-Visual,Visual,Image-making,Still Film Camera,Kodak Instamatic Camera,,Eastman Kodak Company,124,,,,,,1963,,,,,,,,flash cube,AAA batteries,,127 film cartridge,2019.04.177,,,"came w/ 2019.04.176, in bag w/ printed materials",
Polaroid Automatic Land Camera,Audio-Visual,Visual,Image-making,Still Film Camera,Polaroid Automatic Land Camera,,Polaroid Corporation,420,,,,,,1971,$59.95,,,,,,,"Polaroid Focused Flash, Hi-power Montgomery Ward flashcubes",3.0 volt battery,,"Polaroid 107/108 type film, Fujifilm FP-100c, FP-100b, or FP-3000b",2019.04.178,,,came w/ instruction manual and cold-plate,
Simon And Garfunkle Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Simon and Garfunkel's Greatest Hits,,CBS inc.,,,,,,,1974,,,,,,,,,,,,2019.04.2,,Will Tuttle,,
Motley Crüe Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Motley Crüe Motley Crue,,Elektra Entertainment,,,,,,,1994,,,,,,,,,,,,2019.04.3,,Will Tuttle,,
Pretty in Pink Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Pretty In Pink Official Motion Picture Soundtrack,,"A&M Records, Inc.",,,,,,,1986,,,,,,,,,,,,2019.04.4,,Will Tuttle,,
Lionel Richie Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Lionel Richie - Can't Slow Down,,Columbia House/CBS Inc.,,,,,,,1983,,,,,,,,,,,,2019.04.5,,Will Tuttle,,
Whitney Houston Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Whitney Houston - Whitney Houston,,Arista Records Inc.,,,,,,,1985,,,,,,,,,,,,2019.04.6,,Will Tuttle,,
Ace of Base Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Ace of Base - The Sign,,Arista Records Inc.,,,,,,,1993,,,,,,,,,,,,2019.04.7,,Will Tuttle,,
Hootie & The Blowfish Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,Hootie & The Blowfish - Cracked Rearview,,Atlantic Recording Corporation,,,,,,,1994,,,,,,,,,,,,2019.04.8,,Will Tuttle,,
The Rembrandts Cassette,Audio-Visual,Audio,Audio Recording,Cassette Tape,The Rembrandts - The Rembrandts LP,,Eastwest Records America,,,,,,,1995,,,,,,,,,,,,2019.04.9,,Will Tuttle,,
Sony Walkman,Audio-Visual,Audio,Portable Audio Player,Cassette,Sony Radio Cassette Player,,Sony,SRF-19W,,,,,,,,134754,,,,,,3.5 headphone jack,,,2 AA batteries,2019.06.02,,,,
Sanyo Mini Cassette recorder,Audio-Visual,Audio,Portable Audio Player,Mini Cassette,Voice Activated System Mini Cassette Recorder,,Sanyo,M 1115,,,,,,,,77313117,,,,,,3.5 headphone jack,,,"Cassette tapes, 2AA batteries",2019.06.03,2019-06-02,,"Didn't test recording capability, only playing, missing battery cover",
Bill Sanders Cassette Tape,Audio-Visual,Audio,Audio Recording,Cassette Tape,The Teen Survival Pack by Bill Sanders,,Cornerstone Communications,,,,,,,1986,,,,,,,,,,,,2019.07.15,,,"America, you'll always win - Positunes, by Bill Sanders",
Sony Betacam,Audio-Visual,A/V,Audio & Visual Recorder,Betamax Recorder,Sony Betacam Portable Videocassette recorder,,Sony,BVW-25,,,,,,1982,,,,,,,,,"3.5 mm jack, audio ins, video in w/ 26 pins",,"Betacam videotapes, *not* SP",2019.07.18,,,,
disposable camera,Audio-Visual,Visual,Image-making,Still Film Camera,novo nordisk branded disposable camera,,"Fairworld, Inc",,,,,,,2002,,,,,,,,,,,35mm,2019.09.01,,,uses the c-41 developing process,
Polaroid Sun 600 LMS Land Instant camera,Audio-Visual,Visual,Image-making,Still Film Camera,Polaroid Sun 600 LMS,,Polaroid,Sun 600 LMS,,,,,,1981,,,,,,,,,,,600 film cartidge,2019.10.01,,,,
Polaroid One Step Land Camera BC Series,Audio-Visual,Visual,Image-making,Still Film Camera,Polaroid One Step Land Camera BC Series,,Polaroid,One-Step BC Series,,,,,,1977,,,,,,,,,,,SX-70 Film,2019.10.02,,,came with 3 flash bars in bag,
Revere Ranger 8mm video camera,Audio-Visual,Visual,Image-making,Motion Film Camera,Revere Ranger 8mm video camera,,Ranger Camera Company,Ranger Cine Camera model 81,,,,,,1949,,,,,,,,,,,,2019.10.14,,Marianne McHugh Porter,"includes case, telephoto lens, manual",
Argus 35mm film camera,Audio-Visual,Visual,Image-making,Still Film Camera,Argus,,Argus,C3 Standard,,,,,,1958,$35,1680516,,,,,,,,,,2019.10.15,,Marianne McHugh Porter,includes case,
Polaroid Automatic Land Camera,Audio-Visual,Visual,Image-making,Still Film Camera,Polaroid Automatic Land Camera,,Polaroid Corporation,230,,,,,,1967,,ZC150933,,,,,,,,,"Polaroid 107/108 type film, Fujifilm FP-100c, FP-100b, or FP-3000b",2019.11.01,,Marianne McHugh Porter,"includes manual, Polaroid cold-clip #193, removed battery",
Revere Eight Projector,Audio-Visual,Visual,Visual Display,8mm Film Projector,"Revere Eight ""85"" Projector",,Ranger Camera Company,85,,,,,,1948,,A226009,,,,,,,,,8mm film,2019.11.02,,Marianne McHugh Porter,,
Beowulf - Director's Cut,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Beowulf - Director's Cut,,Paramount Pictures,,,,,,,2007,,1-4157-3933-1,,,,,,,,,"HD DVD player, Xbox 360",2019.11.03,,Will Tuttle,inc. special features,
Transformers - two-disc special edition,Audio-Visual,A/V,Audio & Visual Recording,HD-DVD,Transformers - two-disc special edition,,Dreamworks,,,,,,,2007,,1-4157-3656-1,,,,,,,,,"HD DVD player, Xbox 360",2019.11.04,,Will Tuttle,inc. special features,
