Name,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,Identifying Number,Accession Number,Donor,Notes
[PASCAL for the Humanities],Printed Matter,Book,PASCAL for the Humanities,Nancy M. Ide,N/A,N/A,U of Pennsylvania P,1987,English,PASCAL--Computer Program Language,ISBN 0-8122-1242-8,,,
[The Osborne/McGraw-Hill Guide to Your Apple III],Printed Matter,Book,The Osborne/McGraw-Hill Guide to Your Apple III,Stanley M. Miastkowski,N/A,N/A,Osborne/McGraw-Hill,1983,English,Apple III (Computer)--Guide,ISBN 0-88134-101-0,2013.07.376,Keith Moore,
[Osborne CP/M User Guide],Printed Matter,Book,Osborne CP/M User Guide,Thom Hogan,N/A,N/A,Osborne/McGraw-Hill,1982,English,CP/M--User Guide,ISBN 0-931988-81-0,2013.07.379,Keith Moore,Special Microsoft Softcard Edition for Apple II and Apple III owners.
[PCs Made Easy],Printed Matter,Book,PCs Made Easy,James L. Turley,N/A,N/A,Osborne McGraw-Hill,1989,English,PCs--Educational,ISBN 0-078-81477-4,2013.07.387,Keith Moore,
[Danny Goodman’s JavaScript Handbook],Printed Matter,Book,Danny Goodman’s JavaScript Handbook,Danny Goodman,N/A,N/A,IDG Books Worldwide,1996,English,Programming--JavaScript,ISBN 0-7645-3003-8,2013.07.550,,Bonus CD-ROM included.
[Computer Programs for Literary Analysis],Printed Matter,Book,Computer Programs for Literary Analysis,John R. Abercrombie,N/A,N/A,U of Pennsylvania P,1984,English,Discourse Analysis--Data Processing,ISBN 0-8122-1177-4,2013.07.554,,2013.07.676.
[Core Memory: A Visual Survey of Vintage Computers],Printed Matter,Book,A Visual Survey of Vintage Computers,John Alderman,N/A,N/A,Chronicle Books,2007,English,Photography / History of Computers,ISBN 0-8118-5442-6,2013.07.555,,Photographs by Mark Richards. Featuring Machines from the Computer History Museum.
[Advances in Computer-aided Literary and Linguistic Research],Printed Matter,Book,Advances in Computer-aided Literary and Linguistic Research,N/A,"D. E. Ager, F. E. Knowles, and Joan Smith", N/A,The University of Aston in Birmingham,1979,English,Linguistics--Data Processing,ISBN 0-903807-64-5,2013.07.556,,2013.12.95.
[Computer Wimp: 166 Things I Wish I Had Known Before I Bought My First Computer!],Printed Matter,Book,166 Things I Wish I Had Known Before I Bought My First Computer!,John Bear,N/A,N/A,Ten Speed Press,1983,English,Educational,ISBN 0-89815-101-5,2013.07.557,,
[Turing’s Man: Western Culture in the Computer Age],Printed Matter,Book,Western Culture in the Computer Age,J. David Bolter,N/A,N/A,Gerald Duckworth & Co.,1984,English,Computers and Civilization,ISBN 0-7156-1917-9,2013.07.558,,
[Artificial Intelligence and Natural Man],Printed Matter,Book,Artificial Intelligence and Natural Man,Margaret Boden,N/A,N/A,Basic Books,1977,English,Artificial Intelligence,ISBN 0-465-00450-4,2013.07.559,,
[The Computer Age: A Twenty-Year View],Printed Matter,Book,A Twenty-Year View,N/A,Dertouzos and Moses,N/A,The MIT Press,1979,English,Computers and Civilization,ISBN 0-262-04055-7,2013.07.560,,
"[Computing in the Humanities: Papers from the Fifth International Conference on Computing in the Humanities, Ann Arbor, Michigan, May 1981]",Printed Matter,Book,"Papers from the Fifth International Conference on Computing in the Humanities, Ann Arbor, Michigan, May 1981",N/A,Richard W. Bailey,N/A,North-Holland Publishing Company,1982,English,Humanities--Data Processing,ISBN 0-444-86423-7,2013.07.561,,
[Being Human in a Technological Age],Printed Matter,Book,Being Human in a Technological Age,N/A,Donald M. Borchert and David Stewart,N/A,Ohio University Press,1982,English,Humanism / Science and Civilization,ISBN 0-8214-0427-X,2013.07.562,,
[Computers in Linguistics],Printed Matter,Book,Computers in Linguistics,Christopher Butler,N/A,N/A,Basil Blackwell,1985,English,Linguistics--Data Processing,ISBN 0-631-14267-3,2013.07.563,,
