Name,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying Number,Accession Number,Date Tested,Donor,Notes
[American Football],Software,Game,Cassette Tape,Commodore 64,American Football,American Football,,,,English,,"Case, Instruction Manual",N/A,,2013.07.406,5/16/2013,,
[BMX Racers],Software,Game,Cassette Tape,Commodore 64,BMX Racers,BMX Racers,,,,English,,"Case, Instruction Manual",N/A,,2013.07.408,5/16/2013,,
[City Attack],Software,Game,Cassette Tape,Commodore 64,City Attack,City Attack,,,,English,,"Case, Instruction Manual",,,2013.07.409,5/16/2013,,
[Clowns],Software,Game,Cartridge,Commodore 64,Clowns,Clowns,Bally/Midway,N/A,Commodore Business Machines,English,1983,N/A,N/A,N/A,2013.07.398,5/24/2013,,
[Computer Cluedo],Software,Game,Cassette Tape,Commodore 64,Computer Cluedo,Computer Cluedo,,,,English,,"Case, Instruction Manual",N/A,,2013.07.410,5/16/2013,,
[Crisis Mountain],Software,Game,Cartridge,Commodore 64,Crisis Mountain,Crisis Mountain,Creative Software,David Schroeder,Creative Software,English,1983,N/A,N/A,N/A,2013.07.399,5/16/2013,Aaron Kuhn,Cartridge case is broken so game cannot be played.
[Epyx Action],Software,Game,Cassette Tape,Commodore 64,Epyx Action,Epyx Action,,,,English,,"Case, Instruction Manual",N/A,,2013.07.412,5/16/2013,,
[F/16 Combat Pilot],Software,Game,Cassette Tape,Commodore 64,F/16 Combat Pilot,F/16 Combat Pilot,,,,English,,"Case, Instruction Manual",N/A,,2013.07.411,5/16/2013,,
[Flight Ace],Software,Game,Cassette Tape,Commodore 64,Flight Ace,Flight Ace,,,,English,,"Case, Instruction Manual",N/A,,2013.07.414,5/16/2013,,
[Indiana Jones in the Lost Kingdom],Software,Game,,Commodore,Indiana Jones in the Lost Kingdom,Indiana Jones in the Lost Kingdom,,,,English,,,N/A,,2013.07.470,,,
[Interdictor Pilot],Software,Game,Cassette Tape,Commodore 64,Interdictor Pilot,Interdictor Pilot,,,,English,,"Case, Instruction Manual",N/A,,2013.07.416,5/16/2013,,
[Jungle Hunt],Software,Game,Cartridge,Commodore 64,Jungle Hunt,Jungle Hunt,Taito,Bill Bogenreif,Atarisoft,English,1983,N/A,N/A,N/A,2013.07.401,5/24/2013,,
[Kickman],Software,Game,Cartridge,Commodore 64,Kickman,Kickman,Bally/Midway,N/A,Commodore Business Machines,English,1982,N/A,N/A,N/A,2013.07.402,6/05/2013,,
[Max Headroom],Software,Game,Cassette Tape,Commodore 64/128,Max Headroom,Max Headroom,,,,English,,"Case, Instruction Manual",N/A,,2013.07.417,5/16/2013,,
[Mindwheel: An Electronic Novel],Software,Interactive Fiction,5¼” Floppy,Commodore 64,An Electronic Novel,Mindwheel,Steve Hales and William Mataga,Robert Pinsky,Synapse & Broderbund,English,1984,"2 disks, book",N/A,N/A,2013.07.493,,,Written/designed by the poet Robert Pinsky.
[Sherlock],Software,Interactive Fiction,Cassette Tape,Commodore 64,Sherlock,Sherlock,,,,English,,"Case, Instruction Manual",N/A,,2013.07.419,5/16/2013,,
[Slam-Dunk],Software,Game,Cassette Tape,Commodore 64,Slam-Dunk,Slam-Dunk,,,,English,,"Case, Instruction Manual",N/A,,2013.07.420,5/16/2013,,
[Star Empire],Software,Game,Cassette Tape,Commodore 64,Star Empire,Star Empire,,,,English,,"Case, Instruction Manual",N/A,,2013.07.421,5/16/2013,,
[The Addams Family],Software,Game,Cassette Tape,Commodore 64,The Addams Family,The Addams Family,Ocean Software Limited,N/A,Ocean Software Limited,"English, French, German",1992,"Case, Instruction Manual",N/A,N/A,2013.07.405,5/16/2013,,
[The Blues Brothers],Software,Game,Cassette Tape,Commodore 64,The Blues Brothers,The Blues Brothers,,,,English,,"Case, Instruction Manual",N/A,,2013.07.407,5/16/2013,,
[The Quest],Software,Game,Cassette Tape,Commodore 64,The Quest,The Quest,,,,English,,"Case, Instruction Manual",N/A,,2013.07.418,5/16/2013,,2014.09.142
[The Story So Far],Software,Game,Cassette Tape,Commodore 64,The Story So Far,The Story So Far,,,,English,,"Case, Instruction Manual",N/A,,2013.07.422,5/16/2013,,
[Number Tumblers],Software,,,,Number Tumblers,Number Tumblers,,,,,,,,,2013.12.99,,,
[Story Machine],Software,,,,Story Machine,Storyt Machine,,,,,,,,, 2013.12.100,,,
[Memory Manner],Software,,,,Memory Manner,Memory Manner,,,,,,,,, 2013.12.101,,,
[Frogger],Software,,,,Frogger,Frogger,,,,,,,,, 2013.12.102,,,
[Popeye],Software,,,,Popeye,Popeye,,,,,,,,, 2013.12.103,,,
[Pole Position],Software,,,,Pole Position,Pole Position,,,,,,,,, 2013.12.104,,,
[Beach-Head],Software,[Game/Interactive Fiction],5-¼ inch Floppy Disk,Commodore 64/128,Beach-Head,Beach-Head,Access Software,Bruce Carver,Access Software,English,1984,N/A,,133194,2014.09.144,,Keith Moore,
[Beach-Head II: The Dictator Strikes Back],Software,[Game/Interactive Fiction],5-¼ inch Floppy Disk,Commodore 64/128,The Dictator Strikes Back,The Dictator Strikes Back,Access Software,Roger and Bruce Carver,Access Software,English,1985,Includes instruction booklet,,212415,2014.09.148,,Keith Moore,
[Infiltrator],Software,[Game/Interactive Fiction],5-¼ inch Floppy Disk,Commodore 64/128,Infiltrator,Infiltrator,Chris Gray Enterprises,Chris Gray,Mindscape,English,1986,,,6104434743,2014.09.160,,Keith Moore,
[Mini Putt],Software,[Game/Interactive Fiction],5-¼ inch Floppy Disk,Commodore 64/128,Mini Putt,Mini Putt,Artech Digital Entertainments,N/A,Accolade,English,1987,N/A,,,2014.09.151,,Keith Moore,
[Airborne Ranger],Software,[Game/Interactive Fiction],5-¼ inch Floppy Disk,Commodore 64/128,Airborne Ranger,Airborne Ranger,MicroProse Simulation Software,Lawrence Schick,MicroProse Simulation Software,English,1987,,,122987AH6,2014.09.153,,Keith Moore,
[Paperboy],Software,[Game/Interactive Fiction],5-¼ inch Floppy Disk,Commodore 64/128,Paperboy,Paperboy,Atari,Carl Bedard,Mindscape,English,1984,,,02686,2014.09.162,,Keith Moore,
