Name,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying Number,Accession Number,Date Tested,Donor,Notes
Sky Writer,Software,Educational,Cartridge,Atari 400 / 800 / XL / XE,Sky Writer,Sky Writer,Milliken,,Atari,English,1983,,,RX8059,2013.07.296,2013-06-02,,
Agent USA,Software,Educational Software,5¼” Floppy Disk,"Apple II Plus, IIe, or IIc",Agent USA,Agent USA,Tom Snyder Productions,Tom Snyder,Scholastic,English,1984,"Case, Instruction Manual, Stickers, 2 Disks",,ISBN 0-590-95082-7,2013.07.423,2013-05-17,,
Electric Crayon: ABC’s,Software,Educational,5¼” Floppy Disk,Apple Version,Electric Crayon: ABC’s,Electric Crayon: ABC’s,Polarware,Brian Rice,Polarware,English,1986,"Case, Instruction Manual",,,2013.07.431,2013-05-17,,
Electric Crayon: This Land Is Your Land,Software,Educational,5¼” Floppy Disk,Apple Version,This Land Is Your Land,This Land Is Your Land,Polarware,Brian Rice,Polarware,English,1986,"Case, Instruction Manual",,,2013.07.432,2013-05-17,,
Maps and Globes: Latitude and Longitude,Software,Educational,5¼” Floppy Disk,"Apple II, II+, IIe, IIc",Maps and Globes: Latitude and Longitude,Maps and Globes: Latitude and Longitude,Troll Associates,,Troll Associates,English,1987,"Case, Instruction Manual, 2 Disks",,,2013.07.434,2013-05-17,,
Studymate: The Grade Booster,Software,Educational,,,Studymate: The Grade Booster,Studymate: The Grade Booster,,,,,,,,,2013.07.442,,,
World History,Software,Educational,,,World History,World History,,,,,,,,,2013.07.444,,,
The Oregon Trail,Software,"Game, Educational",5¼” Floppy Disk,IBM PC/XT/AT (MS-DOS Edition),The New Oregon Trail,The Oregon Trail,MECC,,MECC,English,1988,"Case, Instruction Manual",,H-306,2013.07.445,,Aaron Kuhn,
Macintosh Basics,Software,Educational,3 ½” Floppy,Macintosh Computers,Macintosh Basics,Basics,Apple,,,English,1991,,,914-0888-A,2013.07.476,,James Vermillion,
Alien Addition,Software,Educational,Cartridge,Texas Instruments Home Computers,Alien Addition,Alien Addition,Texas Instruments,Susan Powell,Texas Instruments,English,1982,"Case, Instruction Manual",,,2013.07.530,,,
Addition and Subtraction 2,Software,Educational,Cartridge,Texas Instruments Home Computers,Addition and Subtraction 2,Addition and Subtraction 2,Texas Instruments,,Texas Instruments,English,1981,"Case, Instruction Manual",,,2013.07.531,,,
Minus Mission,Software,Educational,Cartridge,Texas Instruments Home Computers,Minus Mission,Minus Mission,Texas Instruments,Susan Powell,Texas Instruments,English,1981,"Case, Instruction Manual",,,2013.07.532,,,
