Name,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes
KoalaPad,Hardware,Peripheral,Input,Graphic Tablet,KoalaPad,,Koala Technologies,Part Number 00106-066,,,,,,1984,,,,,,With pen attachment.,,9-pin connector,,,"Apple IIc, IIe",2013.06.08,,,
Apple I (Replica),Hardware,Computer System,Desktop Computer,,"Apple I, Replica 1",,Briel Retro Computers,Apple I,,,,,,2012,$666.00,,,None,Hard Disk Drive:,32K," MOS 6502, 1.0 MHz",,,,,2013.06.1,2004-06-16,,Built by J.R. Raith. -Turns on but does not display contents on screen.
Apple Monitor III,Hardware,Peripheral,Output,Monitor,Monitor III,,"Apple Computer, Inc.",A3M0039,,,,,,1983,,B3J 405255,,,,,,,,,,2013.06.10,,,
Apple III External Drive B,Hardware,Peripheral,External Storage,Floppy Disk Drive,Apple III External Drive B,,"Apple Computer, Inc.",,,,,,,,,,,,,,,,,,,2013.06.11,,,
Apple Lisa,Hardware,Computer System,Desktop Computer,,Apple Lisa,,"Apple Computer, Inc.",Lisa,,,,,,1983,"$9,995.00",,"2x 5.25""",,5MB,1MB," Motorola 68000, 5MHz"," 1 parallel, 2 serial, 1 mouse",3 internal expansion slots,Apple Lisa GUI,,2013.06.12,2013-06-30,Brad Feld,
Apple Lisa Keyboard,Hardware,Peripheral,Input,Keyboard,Apple Lisa Keyboard,,"Apple Computer, Inc.",,,,,,,1983,,,,,,,,,,,,2013.06.13,2013-05-30,,
Apple Lisa Mouse,Hardware,Peripheral,Input,Mouse,Apple Lisa Mouse,,"Apple Computer, Inc.",,,,,,,,,,,,,,,,,,,2013.06.14,2013-05-30,,
Apple IIc,Hardware,Computer System,Desktop Computer,,Apple IIc,,"Apple Computer, Inc.",A2S4000,,,,,,1984,"$1,295.00",,"5.25""",,,128 KB (up to 1.125 MB),65C02 @ 1.023 MHz,,,ProDOS,,2013.06.15,,,
AppleCD 600e,Hardware,Peripheral,External Storage,CD Drive,AppleCD 600e,,"Apple Computer, Inc.",M3958,,,,,,1995,,PA5281494ZQ,,,,,,SCSI,,,,2013.06.15.1,,Rafael Fajardo,
Apple IIc External Hard Drive,Hardware,Peripheral,External Storage,Hard Disk Drive,Apple IIc External Hard Drive,,"Apple Computer, Inc.",,,,,,,,,,,,,,,,,,,2013.06.16,,,
Apple IIc Monitor,Hardware,Peripheral,Output,Monitor,Apple IIc Monitor,,"Apple Computer, Inc.",G090H,,,,,,1985,$1300 (package price),T077678,,,,,,,,,,2013.06.17,,,
Apple IIc Mouse,Hardware,Peripheral,Input,Mouse,Apple IIc Mouse,,"Apple Computer, Inc.",A2M4015,,,,,,,,,,,,,,9-pin serial port,,,,2013.06.18,2013-05-30,,
Macintosh Centris 610,Hardware,Computer System,Desktop Computer,,Macintosh Centris 610,,"Apple Computer, Inc.",,,,,,,1993,"$1,860.00",,,,Hard Disk Drive:," 4 or 8 MB, expandable to 64 MB (80 ns 72-pin SIMM)",Motorola 68LC040 or 68040 @ 20 or 25 MHz,,,System 7.1 to Mac OS 8.1; 9.1 with Power PC upgrade,,2013.06.19,2014-06-16,,Closely related to Macintosh Quadra 610. Computer turns on with no display content on screen.
IBM Keyboard (for Apple I),Hardware,Peripheral,Input,Keyboard,IBM Keyboard (for Apple I),,IBM,,,,,,,,,,,,,,,,,,,2013.06.2,2013-05-30,,
Centris 610 Monitor,Hardware,Peripheral,Output,Monitor,"Macintosh 12"" RGB Display",,"Apple Computer, Inc.",,,,,,,1991,"$1,860 (package price)",,,,,,,,,,,2013.06.20,,,
