Name,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying Number,Accession Number,Date tested,Donor,Notes
Amiga,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Apple/Mac,,,,,,,,,,,,,,,,,,
Riven: The Sequel to Myst,Software,Game,CD-ROM,Mac OS/Windows 95,Riven: The Sequel to Myst,Riven: The Sequel to Myst,Cyan,,Broderbund,English,1997,"Case, Box set of 5 CDs in individual sleeves, and User's Manual, Misc. promotional materials",,ISBN 1-57382-123-3,2017.12.05,,,
"Adventure 1, 2, 3",Software,Game,5¼” Floppy Disk,"Apple 2, Apple 2 Plus 48k, TRS 80",Adventure,,,,"Adventure International, A Division of Scott Adams, Inc.",English,1981,Case with 5¼” Floppy Disk,,,2018.01.31,,,
The Prisoner,Software,Interactive Fantasy,5¼” Floppy Disk,"Apple 2, Apple 2 Plus 48k Applesoft",The Prisoner,,Edu-Ware,,"Edu-Ware Services, Inc.",English,1980,"Two 5¼” Floppy Disks, Shrinkwrapped cardboard sleeve, stapled booklet, handwritten notes",,,,,,
Pure-Stat Baseball,Software,Game,5¼” Floppy Disk,"Apple 2, II plus, IIe, and IIc",Pure-Stat Baseball,,"Quest, Inc.",,SubLOGIC Corporation,English,1986,"Two 5¼” Floppy Disks, Instruction Manual, Manager's Guidebook in cardboard sleeve",,,2018.09.05,,,
Unreal City: A Hypertext Guide to T.S. Eliot's The Waste Land,Software,Interactive Poetry,"3.5"" Floppy Disk",Macintosh,Unreal City: A Hypertext Guide to T.S. Eliot's The Waste Land,,Eastgate Systems,Christiane Paul,Eastgate Systems,English,1995,"Two 3.5"" Floppy Disks, Getting Started booklet",,,,,,
Tales from History,Software,Game,5¼” Floppy Disk,Apple,Tales from History,,Apple Computer Inc.,,"Scholastic, Inc.",English,1987,5¼” Floppy Disk: Tales of Reading Adventures Handbook,,Disk: 0-590-98875-1; Handbook: 0-590-98929-4,2018.10.04,,KansasFest 2018 Garage Giveaway,
Where In the World Is Carmen Sandiego,Software,Game,5¼” Floppy Disk,Apple II Plus/ IIe/ IIc,Where In the World Is Carmen Sandiego,,Broderbund Software,,Broderbund,English,,5¼” Floppy Disk,,,2018.10.06,,KansasFest 2018 Garage Giveaway,
Where In the USA Is Carmen Sandiego,Software,Game,5¼” Floppy Disk,Apple II Plus/ IIe/ IIc,Where In the USA Is Carmen Sandiego,,Broderbund Software,,Broderbund,English,1986,5¼” Floppy Disk,,,2018.10.07,,KansasFest 2018 Garage Giveaway,
Ray Tobey's Skyfox,Software,Game,5¼” Floppy Disk,"Apple II, II+, IIe, IIc",Ray Tobey's Skyfox,,Electronic Arts,"Raymond E. Tobey, Inc.",Electronic Arts,English,1984,5¼” Floppy Disk in a cardboard comic book sleeve,,,2018.10.08,,KansasFest 2018 Garage Giveaway,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Atari,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Commodore VIC-20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Commodore 64/128,,,,,,,,,,,,,,,,,,
Timothy Leary's Mind Mirror,Software,Game,5¼” Floppy Disk,Commodore 64/128,Timothy Leary's Mind Mirror,,Electronic Arts,Timothy Leary,Electronic Arts,English,1986,Two Two 5¼” Floppy Disks in a cardboard sleeve,,,2018.09.10,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Intellivision,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Magnavox Odyssey²,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nintendo,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
N64,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Texas Instruments TI-99/4A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Vectrex,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
other games and interactive fiction,,,,,,,,,,,,,,,,,,
Spot: The Computer Game,Software,Game,5¼” Floppy Disk,"IBM, Tandy, and MS-DOS",Spot: The Computer Game,Spot: The Computer Game,"Virgin Mastertronic, Inc.",,"Virgin Mastertronic, Inc.",English,1990,"Case, Instruction Booklet, Virgin Mastertronic Games Catalogue, 2 floppy disks, 1 unmarked 3.5"" floppy with hand-written note",,,2017.12.03,,,
