Name,Medium,Type,Product Name,Username,Intended Compatibility,Interface,Model,Serial,Year,Accession Number,Date Tested,Donor,Notes
Foldable Keyboard for Toshiba,Peripheral,Keyboard,Belkin G700 Foldable Keyboard for Toshiba,Belkin G700 Foldable Keyboard,,Proprietary,G700,99G409100133QS01398 F8A1500,,,,Patrick Martin and Adam Wilson,
Apple Lisa Keyboard,Peripheral,Keyboard,Apple Lisa Keyboard,Apple Lisa Keyboard,Apple Lisa,Proprietary Connection,N/A,N/A,~1983,2013.06.13,2013-05-30,,
IBM Keyboard (for Apple I),Peripheral,Keyboard,IBM Keyboard (for Apple I),IBM Keyboard (for Apple I),Apple I,,,,,2013.06.2,2013-05-30,,
Apple Centris 610 Keyboard,Peripheral,Keyboard,Apple Centris 610 Keyboard,Apple Centris 610 Keyboard,Apple Centris,,,,,2013.06.21,2013-05-30,,
Apple iMac G3 Keyboard,Peripheral,Keyboard,Apple iMac G3 Keyboard,Apple iMac G3 Keyboard,Apple iMac G3,,,,,2013.06.24,2013-05-30,,
Apple iMac G4 Keyboard,Peripheral,Keyboard,Apple iMac G4 Keyboard,Apple iMac G4 Keyboard,Apple iMac G4,,,,,2013.06.27,2013-05-30,,
IBM 5150 Keyboard,Peripheral,Keyboard,IBM 5150 Keyboard,IBM 5150 Keyboard,IBM 5150 PC,,,,,2013.06.65,2013-05-30,,
NeXT Keyboard,Peripheral,Keyboard,NeXT Keyboard,NeXT Keyboard,NeXT,,,,,2013.06.68,2013-05-30,,
Apple USB Keyboard,Peripheral,Keyboard,Apple USB Keyboard,Apple USB Keyboard,Apple Computers,USB,,,,2013.06.74,2013-05-30,,
Apple Keyboard,Peripheral,Keyboard,Apple Keyboard,Apple Keyboard,Apple Computers,,M0110,G647M01102472,,2013.07.134,,,
Apple Keyboard II,Peripheral,Keyboard,Apple Keyboard II,Apple Keyboard II,Apple Computers,,M0487,,,2013.07.176,,,"2013.07.177, 2013.07.178, 2013.07.179, 2013.07.180, 2013.07.181, 2013.07.182, 2013.07.183, 2013.07.184, 2013.07.185, 2013.07.186, 2013.07.187, 2013.07.188, 2013.07.189, 2013.07.190, 2013.07.191, 2013.07.192, 2013.07.193, 2013.07.198, 2013.07.221."
Apple Extended Keyboard,Peripheral,Keyboard,Apple Extended Keyboard,Apple Extended Keyboard,Apple Computers,,M0115,265361,,2013.07.194,,,2013.07.195.
Apple Extended Keyboard II,Peripheral,Keyboard,Apple Extended Keyboard II,Apple Extended Keyboard II,Apple Computers,,M3501,,,2013.07.196,,,2013.07.197.
IBM Keyboard,Peripheral,Keyboard,IBM Keyboard,IBM Keyboard,,,,,,2013.07.231,,,2013.07.232.
Turbo-Trak Keyboard,Peripheral,Keyboard,Turbo-Trak Keyboard,Turbo-Trak Keyboard,,,,,,2013.07.257,,Brad Feld,
