Name,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,Identifying Number,Accession Number,Donor,Notes
[Adobe Premiere 6.5 Design Professional],Printed Matter,Manual,Adobe Premiere 6.5 Design Professional,Chris Botello,Nicole Pinard and Ann Fisher,N/A,Thomson Course Technology,2004,English,Adobe Manual,0-619-10981-5,2014.06.36,John Hopkins,
[Altair 8800 Theory of Operation Manual and Schematics],Printed Matter,Manual,Altair 8800 Theory of Operation Manual and Schematics,"MITS, Inc.",N/A,N/A,MITS,1975,English,Altair 8800 (Computer)--Operation Manual,N/A,2013.10.89,Brad Feld,Blue binder with pages.
[Altair Computer System Documentation - Altair 8800 Operator’s Manual],Printed Matter,Manual,Altair Computer System Documentation - Altair 8800 Operator’s Manual,MITS Inc.,N/A,N/A,MITS,1975,English,Altair 8800 (Computer)--Operator’s Manual,N/A,2013.10.2,Brad Feld,White binder with pages.
[Apple 6502 - Assembler/Editor],Printed Matter,Manual,Apple 6502 - Assembler/Editor,Apple Computer,N/A,N/A,Apple Computer,1980,English,6502 (Assembly Language)--User’s Manual,030-0112-00,2013.12.2,Brad Feld,
[Apple - AppleCD 300e Plus - User’s Guide],Printed Matter,Manual,Apple - AppleCD 300e Plus - User’s Guide,Apple Computer,N/A,N/A,Apple Computer,1994,English,AppleCD (CD-ROM Drive)--User’s Guide,030-5364-A,2013.07.514,James Vermillion,
[Apple - AppleCD 300i Plus - User’s Guide],Printed Matter,Manual,Apple - AppleCD 300i Plus - User’s Guide,Apple Computer,N/A,N/A,Apple Computer,1994,English,AppleCD (CD-ROM Drive)--User’s Guide,030-6133-A,2013.07.513,James Vermillion,
[Apple - DVD Studio Pro User’s Manual],Printed Matter,Manual,Apple - DVD Studio Pro User’s Manual,Apple Computer,N/A,N/A,Apple Computer,2001,English,DVD Studio Pro Manual,034-2024-A,2014.06.33,John Hopkins,
[Apple - Final Cut Pro 4 - Tutorials],Printed Matter,Manual,Apple - Final Cut Pro 4 - Tutorials,Apple Computer,N/A,N/A,Apple Computer,2003,English,Final Cut Pro Tutorial,034-2116-A,2014.06.29,John Hopkins,
[Apple - Final Cut Pro 4 - User’s Manual Volume I],Printed Matter,Manual,"Setting Up, Input and Output",Apple Computer,N/A,N/A,Apple Computer,2003,English,Final Cut Pro Manual,034-2113-A,2014.06.30,John Hopkins,
[Apple - Final Cut Pro 4 - User’s Manual Volume II],Printed Matter,Manual,Editorial,Apple Computer,N/A,N/A,Apple Computer,2003,English,Final Cut Pro Manual,034-2114-A,2014.06.31,John Hopkins,
[Apple - Final Cut Pro 4 - User’s Manual Volume III: Effects],Printed Matter,Manual,Effects,Apple Computer,N/A,N/A,Apple Computer,2003,English,Final Cut Pro Manual,034-2115-A,2014.06.32,John Hopkins,
"[Apple - Getting Started With Your Powerbook: Includes Setup, Expansion, and Troubleshooting Information for PowerBook Computers]",Printed Matter,Manual,"Includes Setup, Expansion, and Troubleshooting Information for PowerBook Computers",Apple Computer,N/A,N/A,Apple Computer,2000,English,Reference Manual,N/A,2014.06.11,John Hopkins,
[Apple - Imagewriter User’s Manual - Part 1: Reference],Printed Matter,Manual,Reference,Apple Computer,N/A,N/A,Apple Computer,1984,English,Apple Imagewriter (Printer)--User’s Manual,030-0730-B,2013.07.385,Keith Moore,
"[Apple - Inside Macintosh, Volume I]",Printed Matter,Manual,"Apple - Inside Macintosh, Volume I","Caroline Rose, et al.",N/A,N/A,Addison-Wesley Publishing Company,1985,English,Macintosh (Computer)--User’s Guide,ISBN 0-201-17731-5,2013.07.617,,
"[Apple - Inside Macintosh, Volume II]",Printed Matter,Manual,"Apple - Inside Macintosh, Volume II","Caroline Rose, et al.",N/A,N/A,Addison-Wesley Publishing Company,1985,English,Macintosh (Computer)--User’s Guide,ISBN 0-201-17732-3,2013.07.618,,
"[Apple - Inside Macintosh, Volume III]",Printed Matter,Manual,"Apple - Inside Macintosh, Volume III","Caroline Rose, et al.",N/A,N/A,Addison-Wesley Publishing Company,1985,English,Macintosh (Computer)--User’s Guide,ISBN 0-201-17733-3,2013.07.619,,
"[Apple - Inside Macintosh, Volume IV]",Printed Matter,Manual,"Apple - Inside Macintosh, Volume IV",Apple Computer,N/A,N/A,Addison-Wesley Publishing Company,1985,English,Macintosh (Computer)--User’s Guide,ISBN 0-201-05409-4,2013.07.620,,
"[Apple - Inside Macintosh, Volume V]",Printed Matter,Manual,"Apple - Inside Macintosh, Volume V",Apple Computer,N/A,N/A,Addison-Wesley Publishing Company,1988,English,Macintosh (Computer)--User’s Guide,ISBN 0-201-17719-6,2013.07.621,,
"[Apple - Inside Macintosh, Volume VI]",Printed Matter,Manual,"Apple - Inside Macintosh, Volume VI",Apple Computer,N/A,N/A,Addison-Wesley Publishing Company,1991,English,Macintosh (Computer)--User’s Guide,ISBN 0-201-57755-0,2013.07.622,,
[Apple - Inside the Macintosh Communications Toolbox],Printed Matter,Manual,Apple - Inside the Macintosh Communications Toolbox,Rob Berkowitz,Scott Smith and Becky Reece,N/A,Addison-Wesley Publishing Company,1991,English,Macintosh (Computer)--User’s Guide,ISBN 0-201-57775-5,2013.07.623,,
[Apple - QuickTime VR Authoring Studio User’s Manual],Printed Matter,Manual,Apple - QuickTime VR Authoring Studio User’s Manual,Apple Computer,N/A,N/A,Apple Computer,1997,English,QuickTime Manual,U976000-084A,2014.06.34,John Hopkins,
[Apple - Silentype Printer - Operation and Reference Manual],Printed Matter,Manual,Apple - Silentype Printer - Operation and Reference Manual,Apple Computer,N/A,N/A,Apple Computer,1980,English,Silentype (Printer)--Reference Manual,030-0095-00,2013.12.8,Brad Feld,
