Name,Medium,Type,Product Name,Username,Intended Compatibility,Interface,Model,Serial,Year,Accession Number,Date Tested,Donor,Notes
A/B Serial Data Switch,Peripheral,Misc Parts,A/B Serial Data Switch,A/B Serial Data Switch,N/A,Serial,N/A,N/A,N/A,2013.07.220,,,
RF Adapter for Commodore Video Output,Peripheral,Misc Parts,RF Adapter for Commodore Video Output,RF Adapter for Commodore Video Output,Commodore Computers,RF,N/A,N/A,N/A,2013.07.241,,,
APC Back-UPS Pro 650 UPS,Peripheral,Misc Parts,APC Back-UPS Pro 650 UPS,APC Back-UPS Pro 650 UPS,N/A,Serial,N/A,N/A,N/A,2013.07.242,,,
CD-ROM Flipping Storage Unit,Peripheral,Misc Part,Bib Brand CD-ROM Flipping Storage Unit,CD-ROM Flipping Storage Unit,CDs,N/A,N/A,/A,N/A,2013.07.279,,,
Texas Instruments 99/4A Video Modulator,Peripheral,Misc Parts,Texas Instruments 99/4A Video Modulator,Texas Instruments 99/4A Video Modulator,Texas Instruments 99/4A,N/A,N/A,N/A,N/A,2013.07.285,,,
TurboNet by Nuvotech - Dial-up Signal Controller,Peripheral,Misc Parts,TurboNet,TurboNet by Nuvotech - Dial-up Signal Controller,N/A,8-pin Serial and Dual Phone Line Connections,N/A,N/A,N/A,2013.07.358,,,
TurboNet ST by Focus,Peripheral,Misc Parts,TurboNet ST,TurboNet ST by Focus,N/A,N/A,N/A,N/A,N/A,2013.07.360,,,
Adaptec Hard Disk Controller,Peripheral,Misc Parts,Adaptec Hard Disk Controller,Adaptec Hard Disk Controller,N/A,N/A,Assy 401406-00 Rev E,N/A,1985,2013.10.53,,Brad Feld,Broken.
Scott Instruments VET-2 - Microphone to PC Connection,Peripheral,Misc Parts,VET-2,Scott Instruments VET-2 - Microphone to PC Connection,Shure Professional Unidirectional Head-Worn Dynamic Microphone (2013.10.62 or similar microphone),10-prong Serial Port,VET/2,SI-A-000304,N/A,2013.10.62,,Brad Feld,
Shure Professional Unidirectional Head-Worn Dynamic Microphone,Peripheral,Misc Parts,Unidirectional Head-Worn Dynamic Microphone,Shure Professional Unidirectional Head-Worn Dynamic Microphone,Scott Instruments VET - Microphone to PC Connection,3-prong Microphone Jack,SM10A,N/A,N/A,2013.10.86,,Brad Feld,
Bag of Circuit Boards (Donated by Brad Feld),Peripheral,Misc Parts,Bag of Circuit Boards,Bag of Circuit Boards (Donated by Brad Feld),N/A,N/A,“#948”,N/A,N/A,2013.12.27,,Brad Feld,Bag contains circuit boards.
Box of Parts (Donated by John Hopkins),Peripheral,Misc Parts,Various Computer Parts,Box of Parts (Donated by John Hopkins),N/A,N/A,N/A,N/A,N/A,2014.06.10,,John Hopkins,"Internal Hard Drives, RAM Memory Pieces, & External Connections."
Micrografix Parallel Graphics Interface (for Commodore 64 and VIC-20),Peripheral,Misc Parts,Micrografix Parallel Graphics Interface (for Commodore 64 and VIC-20),Micrografix Parallel Graphics Interface (for Commodore 64 and VIC-20),N/A,N/A,MW350; Micro R & D,DPU82MMW-350,N/A,2014.06.26,,Keith Moore,
Box of Cables (Donated by Brad Feld),Peripheral,Misc Parts,Assorted Cables,Box of Cables (Donated by Brad Feld),Mostly PC,Assorted,Assorted,Assorted,N/A,2014.08.24,,Brad Feld,25 pin parallel (7 ft) x 4; 25 pin parallel (12 ft) x2; A/V (12ft); A/V (7 ft); Male coax (7ft); DVI (7ft); C7/C8 power connector (3ft); S-video (3ft) x 2; RJ-11 line cord (3ft); RJ-45 ethernet patch cord (7ft); RJ-45 ethernet patch cord (3 ft) x 2; 3.5mm to A/V (3ft); male coax (3 ft); 3.5mm to VGA (3 ft); SCSI 50 pin Ribbon Cable (28 ft); C13/14 power supply (7ft) x 5; SCSI 50 pin (6 ft); IEEE 1394 6 conductor (7 ft); IEEE 1394 6 conductor (3 ft); IEEE 1394 4 conductor (3 ft); USB 2.0 A to B (7 ft); USB 2.0 A to USB mini-B (3 ft); USB 2.0 A male to female (3 ft).
Box of Assorted Coax Supplies (Donated by Brad Feld),Peripheral,Misc Parts,Assorted Coax Supplies,Box of Assorted Coax Supplies (Donated by Brad Feld),Coax,Coax,N/A,N/A,N/A,2014.08.25,,Brad Feld,4-way coax splitter; DVI Female to HD15 VGA Male connector; HDMI to DVI adapter; 2-way coax splitter x 2; maleto female coax connector; UHF/VHF splitter; UHF/VHF matching transformer x 2; Sweda “Power Antennna;” stereo connector (3 ft); Sony external antenna connector; 300 ohm to 75 ohm compressor; tube of 16 gauge solder; box or wire butt connectors; generic audio earpiece.
iHome Remote,Peripheral,Misc Parts,iHome Remote,iHome Remote,iPod,Wireless,A1156,8H6072BT3USMA,N/A,2014.08.37,,,2014.09.13.
Apple Micro-DVI to VGA Adapter,Peripheral,Misc Parts,Apple Micro-DVI to VGA Adapter,Apple Micro-DVI to VGA Adapter,Macintosh,Micro-DVI/VGA,MB204G,N/A,2008,2014.08.38,,,
Assorted Computer Fans,Peripheral,Misc Parts,Assorted Computer Fans,Assorted Computer Fans,PC,Various,2 x San Ace 60 9G0612P1M051; 1 x Intel C33224-002; 1 x DC Brushless EFC0912BF; 1 x Datech 0925-12HBTA-2,Various,Various,2014.08.39,,,2014.08.40-43.
Digital Concepts CompactFlash Reader/Writer Converter Drive,Peripheral,Misc Parts,Digital Concepts CompactFlash Reader/Writer Converter Drive,Digital Concepts CompactFlash Reader/Writer Converter Drive,N/A,USB 2.0,CR-10TD-R,N/A,2010,2014.09.100,,,
Box of Assorted Cables and Ends,Peripheral,Misc Parts,Assorted Cables and Ends,Box of Assorted Cables and Ends,N/A,N/A,N/A,N/A,N/A,2014.09.116,,,
RadioShack RF Modulator,Peripheral,Misc Parts,RadioShack RF Modulator,RadioShack RF Modulator,N/A,Coax,15-1283A,2799169,N/A,2014.09.122,,,
Texas Instruments Video Modulator,Peripheral,Misc Parts,Texas Instruments Video Modulator,Texas Instruments Video Modulator,N/A,VHF,UM1381,N/A,1981,2014.09.124,,,
Archer TV/VCR Switch,Peripheral,Misc Parts,Archer TV/VCR Switch,Archer TV/VCR Switch,N/A,Coax,N/A,N/A,N/A,2014.09.129,,,
Sega Dreamcast Memory Card,Peripheral,Misc Parts,Sega Dreamcast Memory Card,Sega Dreamcast Memory Card,Proprietary,USB + Proprietary,HKT-7000,N/A,2001,2014.09.19,,,
Assorted RAM Cards,Peripheral,Misc Parts,Assorted RAM Cards,Assorted RAM Cards,Varied,N/A,Assorted,Assorted,Varied,2014.09.3,,,"Assorted RAM cards from Texas Instruments, IDT, Hyundai, Toshiba, NEC, Apple, SEC and IBM."
inMac “The Fortifier” Flex Disc Reinforcing Device,Peripheral,Misc Parts,inMac “The Fortifier” Flex Disc Reinforcing Device,inMac “The Fortifier” Flex Disc Reinforcing Device,N/A,N/A,7955,N/A,1984,2014.09.60,,,"In box. Includes device, instructions, and sleeve of stickers."
Box of Assorted Chips,Peripheral,Misc Parts,Assorted Chips,Box of Assorted Chips,N/A,N/A,Assorted,N/A,N/A,2014.09.63,,,
The Light Box,Peripheral,Misc Parts,The Light Box by Porta-Trace,The Light Box,N/A,N/A,1118-2C,N/A,2014,2014.09.75,,,
Intel i386 Processor,Peripheral,Misc Parts,Intel i386 Processor,Intel i386 Processor,PC,N/A,A80386DX-25 IV,iL0460401,1985,2014.09.85,,,
Intel i486 DX2 Processor,Peripheral,Misc Parts,Intel i486 DX2 Processor,Intel i486 DX2 Processor,MS-DOS,N/A,A80486DX2-66,iL4433109,1992,2014.09.86,,,
