Name,Medium,Type,Product Name,Username,Intended Compatibility,Interface,Model,Serial,Year,Accession Number,Date Tested,Donor,Notes
Foldable Keyboard for Toshiba,Peripheral,Keyboard,Product Belkin G700 Foldable Keyboard for Toshiba,User Belkin G700 Foldable Keyboard,,Proprietary,G700,99G409100133QS01398 F8A1500,,,,Patrick Martin and Adam Wilson,
IBM Keyboard,Peripheral,Keyboard,Product IBM Keyboard,User ,,,,,,2013.06.2,,,
Atari Joystick,Peripheral,Joystick,Product ,User Atari Joystick,,Attachable 9-pin serial connection,,,,2013.07.356,,,
Dell Serial Mouse,Peripheral,Mouse,Product ,User Dell Mouse,,9-pin serial port,,,,2013.07.357,,,
TurboNet by Nuvotech - Dial-up signal controller,Peripheral,,Product ,User TurboNet,,,,8 pin serial and dual phone line connections,,2013.07.358,,,
FriendlyNet by Asante,Peripheral,Ethernet Wall Outlet Adapter,Product FriendlyNet,User ,,,,,,2013.07.359,,,
TurnoNet ST by Focus,Peripheral,Serial Controller for Dial-up line control,Product ,User TurboNet ST,,,,,,2013.07.360,,,
Gemini Dual Paddle Controller for Atari Systems,Peripheral,Paddle Controller,Product ,User Gemini Paddles,,,,,,2013.07.361,,,
Mouse for Apple Macintosh SE,Peripheral,Mouse,Product Mouse,User N/A,Apple Macintosh SE,ADB,N/A,N/A,~1990,2013.10.10,,Brad Feld,
AC Adapter - CAT (Novation Inc),Peripheral,AC Adapter,Product ,User N/A,,AC Adapter,901017,0479,N/A,2013.10.100,,Brad Feld,
Printer Cable for Laser Writer II,Peripheral,Printer Cable,Product Cable,User N/A,Laser Writer II,Serial,N/A,N/A,~1985,2013.10.12,,Brad Feld,
Colorpak Graphics Card,Peripheral,Graphics Card,Product Colorpak Hi-Res Graphics Card,User N/A,PC,Unknown,ColorPak,SN 11 000251,1984,2013.10.14,,Brad Feld,
Adaptec Hard Disk Controller,Peripheral,Peripheral Component Controller,Product Hard Disk Controller,User N/A,Unknown,Unknown,Assy 401406-00 Rev E,N/A,1985,2013.10.53,,Brad Feld,BROKEN
NeXT Mouse,Peripheral,Mouse,Product NeXT Mouse,User N/A,NeXT Systems,Proprietary NeXT Connection,Part 193,NAAF 0210790,1988,2013.10.54,,Brad Feld,Some Damange
NeXT Keyboard,Peripheral,Keyboard,Product Keyboard,User N/A,for NeXT monitor model N4000A,Proprietary NeXT connector,Part 2122,ABP5204141,1988,2013.10.55,,Brad Feld,
NeXT Keyboard,Peripheral,Keyboard,Product NeXT Keyboard,User N/A,“Listed accessory for use with NeXT monitor model N4000A and NeXT Sound Box model N4004”,Proprietary NeXT serial connection,Part 2234,ABU6200725,1988,2013.10.59,2013.12.18,Brad Feld,
NeXT Mouse,Peripheral,Mouse,Product NeXT Mouse,User N/A,"“Listed Accessory for use with NeXT Monitor, model N4000A”",Proprietary NeXT Serial connection,Part 193,AAF 1221076,1988,2013.10.60,,Brad Feld,
