Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Date Tested,Donor,Notes
Apple,,,,,,,,,,,,,,,,,,,,,,
Brother,,,,,,,,,,,,,,,,,,,,,,
Compaq,,,,,,,,,,,,,,,,,,,,,,
Dell,,,,,,,,,,,,,,,,,,,,,,
Gateway,,,,,,,,,,,,,,,,,,,,,,
Hewlett-Packard (HP),,,,,,,,,,,,,,,,,,,,,,
IBM,,,,,,,,,,,,,,,,,,,,,,
Kaypro,,,,,,,,,,,,,,,,,,,,,,
Litl,,,,,,,,,,,,,,,,,,,,,,
OLPC,,,,,,,,,,,,,,,,,,,,,,
Osborne,,,,,,,,,,,,,,,,,,,,,,
Sony,,,,,,,,,,,,,,,,,,,,,,
Toshiba,,,,,,,,,,,,,,,,,,,,,,
Zenith,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,
Zenith DataSystems Super Sport,Hardware,Portable Computer,Zenith DataSystems Super Sport,,ZDS Zenith DataSystems,Super Sport SX,1989,,551263501,1.44 MB floppy drive,,40 MB hard drive,1 MB RAM,16 MHz 80386SX processor,DC,,MS-DOS 3.3,Power supply,2018.02.19,,,10-inch monochrome VGA LCD screen. 
NEC UltraLite Portable Computer,Hardware,Portable Computer,NEC UltraLite Portable Computer,NEC UltraLite Portable Computer,NEC,UltraLite (PC-17-02),1988,,9600398HB,"1.44 megabyte 3.5"" floppy drive",,built-in 1 or 2 megabyte silicon hard disk,,9.83 MHz central processor,Disk drive port; AC adaptor; Modem port; Telephone port; RS232C port.,Built-in 2400/1200/300 Hayes-compatible modem; Built-in software to exchange files with other computers,MS-DOS,Power supply,2018.03.06,,,
Macintosh PowerBook 160,Hardware,Portable Computer,Macintosh PowerBook 160,Macintosh PowerBook 160,Apple Computer,PowerBook160,1992,"$3,870",BCGM4550,1.44 MB floppy drive,,80 MB,4 MB,25MHz,2 Serial Ports (Printer and Modem),,Mac OS 7.1,AC power adapter,2018.03.07,,William Menninger,
Apple iBook G4,Hardware,Portable Computer,Apple iBook G4,Apple iBook G4,Apple Computer,iBook G4 A1133,2005,"$1,099",,," 8X ""Combo Drive"" -- Configured with a slot-loading 8X/24X/24X/10X DVD-ROM/CD-RW ""Combo"" drive",30.0 GB,256 MB,1.2 GHz PowerPC G4,"Apple VGA Display Out, 56k v.92, Two USB 2.0 ports and one Firewire ""400"" port, AirPort, Bluetooth expansion slots",,Mac OS X,AC power adapter,2018.03.08,,Ryan Ruehlen,
Apple iBook 3G,Hardware,Portable Computer,Apple iBook 3G,"G3, iBook, Clamshell",Apple Computer,iBook G3,1999-2000,"$1,599",UV9423K2H78,N/A,24X CD-ROM,3.2GB-6.0GB EIDE/ATA-2,32-64MB,PowerPC 750 (G3)," One USB 1.1 port, ""AirPort"" (802.11b) wireless networking slot, 56k v.90, 10/100Base-T",N/A,Mac OS 8.6,N/A,2018.03.09,2015-09-17,,"Also has a duplicate (2018.03.10 in tangerine) along with charging cords, USB connector, an iBook user’s guide, pack of software installation disks, and a Norton AntiVirus Guide. All kept within a nifty backpack."
Apple iBook 3G,Hardware,Portable Computer,Apple iBook 3G,"G3, iBook, Clamshell",Apple Computer,iBook G3,1999-2000,"$1,599",UV9437ATH6Q,N/A,24X CD-ROM,3.2GB-6.0GB EIDE/ATA-2,32-64MB,PowerPC 750 (G3)," One USB 1.1 port, ""AirPort"" (802.11b) wireless networking slot, 56k v.90, 10/100Base-T",N/A,Mac OS 8.6,N/A,2018.03.10,2015-09-17,,"Also has a duplicate (2018.03.09 in Blueberry) along with charging cords, USB connector, an iBook user’s guide, pack of software installation disks, and a Norton AntiVirus Guide. All kept within a nifty backpack."
