Name,Medium,Type,Product Name,Username,Intended Compatibility,Interface,Model,Serial,Year,Accession Number,Date tested,Donor,Notes
[Apple LaserWriter II],Peripheral,Printer,LaserWriter II,Apple LaserWriter II,Apple Computers,Diablo 630,M6000,CA021LNF%M6000,1990,2013.10.11,,Brad Feld,"760 Watts, 77lbs, 8ppm, 300DPI. Assembled in Japan."
[Apple Silentype Printer],Peripheral,Printer,Silentype,Apple Silentype Printer,Apple ///,Proprietary Interface,A2M0032,002466,1980,2013.10.5,,,Provides 80 column output on thermal paper. Apple Inc’s first printer. Identical to Tredcom’s Model 200.
[Apple StyleWriter Printer],Peripheral,Printer,StyleWriter,Apple StyleWriter Printer,Apple Computers,"Serial, Power",M8000,CA106PMH%M8050G/A,1991,2013.07.243,,,2013.07.247.
[Atari 1027 Printer],Peripheral,Printer,Atari 1027 Printer,Atari 1027 Printer,Atari Computers,,1027,,,2013.07.273,,,
[Canon Bubble Jet Printer BJ-5],Peripheral,Printer,Canon Bubble Jet Printer BJ-5,Canon Bubble Jet Printer BJ-5,,,BJ-15,,,2013.07.256,,,
[C.ITOH Printer],Peripheral,Printer,C.ITOH Printer,C.ITOH Printer,,,C310 Printer,EP 100452,,2014.10.41,,,
[Epsom LQ-850],Peripheral,Printer,Epsom LQ-850,Epsom LQ-850,,,P88MA,0020O43872,,2015.10.06,,,
[HP LaserJet 1320n],Peripheral,Printer,LaserJet 1320n,HP LaserJet 1320n,,IEEE-1284B parallel port,Product No. Q5928A,CNFC537143,2005,2013.08.18,,,
[IBM Color Plotter 7372],Peripheral,Plotter,IBM Color Plotter 7372,IBM Color Plotter 7372,,,7372,A7548,,2014.10.39,,,
[IBM Plotter],Peripheral,Plotter,IBM Plotter,IBM Plotter,,,7470A,2308A 50043,,2014.10.40,,,
[NeXT Station Printer],Peripheral,Printer,NeXT 400 dpi Laser Printer,NeXT Station Printer,NeXT Computer systems,Proprietary NeXT Printer Cable,N2000,AAC 0016781,1988,2013.10.61,,Brad Feld,
[Sinclair ZX Thermal Printer],Peripheral,Printer,ZX Printer,Sinclair ZX Thermal Printer,Sinclair ZX81,Proprietary Parallel Port,ZX Printer,,1981,2013.12.135,,Gary and Colleen Rynearson,Patent Pending. Made in the UK.
[Smith-Corona TP-II Daisy Wheel Printer],Peripheral,Printer,Smith-Corona TP-II Daisy Wheel Printer,Smith-Corona TP-II Daisy Wheel Printer,,,TP-II,,1984,2013.07.293,,Keith Moore,"“Needs lube on Feeder”, “Look at Belt”. Includes replacement daisywheel."
[HP Scanjet 4570C Scanner ],Peripheral,Scanner,HP Scanjet 4570C Scanner,HP Scanjet 4570C Scanner,Windows 2000/XP/MAC,USB 2.0,Scanjet 4570C,CN2AXT5OR5,2002,2014.08.01,,Brad Feld,Includes HP Scanjet tma5500c (2014.08.02)
[HP Scanjet tma5500c film scanner],Peripheral,Scanner,HP Scanjet tma5500c,HP Scanjet tma5500c,Windows 2000/XP/MAC,PS/2,C9911A,CN2AE133K1,2002,2014.08.02,,Brad Feld,Included with HP Scanjet 4570C (2014.08.01)
[Hewlett Packard PhotoSmart Photo Scanner ],Peripheral,Printer,Hewlett Packard PhotoSmart Photo Scanner,Hewlett Packard PhotoSmart Photo Scanner,Windows 95/98,SCSI,C5100A,SG78Q110BS,1999,2014.08.03,,Brad Feld,
