Name,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,image,360_image
1943: The Battle of Midway,Software,ROM Cartridge,Game,Action-Adventure,1943: The Battle of Midway,,,,Capcom,Yoshiki Okamoto,,Capcom,English,1987,,,,,,,,,,,NES,2013.06.104,2013-05-25,,Manual: https://archive.org/details/1943TheBattleOfMidwayHiResScans,,
The Simpsons: Bart vs. the Space Mutants,Software,ROM Cartridge,Game,Action-Adventure,The Simpsons: Bart vs. the Space Mutants,,,,Imagineering,Gary Kitchen,,Acclaim,English,1991,,,,,,,,,,,NES,2013.06.105,2013-05-19,,Manual: https://archive.org/details/simpsons-bart-vs.-the-space-mutants-the-nes-hiresscans,,
Battletoads,Software,ROM Cartridge,Game,Action-Adventure,Battletoads,,,,Rare,Tim and Chris Stamper,,Tradewest,English,1991,,,,,,,,,,,NES,2013.06.106,2013-05-16,,,,
Blades of Steel,Software,ROM Cartridge,Game,Action-Adventure,Blades of Steel,,,,Konami,,,Konami,English,1988,,,,,,,,,,,NES,2013.06.107,2013-05-25,,Manual: https://archive.org/details/simpsons-bart-vs.-the-space-mutants-the-nes-hiresscans,,
Blaster Master,Software,ROM Cartridge,Game,Action-Adventure,Blaster Master,,,,Sunsoft,Yoshiaki Iwata,,Sunsoft,English,1988,,,,,,,,,,,NES,2013.06.108,2013-05-16,,,,
California Games,Software,ROM Cartridge,Game,Action-Adventure,California Games,,,,"Epyx, Inc.",,,"Epyx, Inc.",English,1987,,,,,,,,,,,NES,2013.06.109,2013-07-02,,,,
Contra,Software,ROM Cartridge,Game,Action-Adventure,Contra,,,,Konami,,,Konami,English,1988,,,,,,,,,,,NES,2013.06.110,2013-05-14,,,,
Super Dodgeball,Software,ROM Cartridge,Game,Sports,Super Dodgeball,,,,Technos Japan,Yoshihisa Kishimoto,,Leland Corporation,English,1988,,,,,,,,,,,NES,2013.06.111,2013-05-25,,,,
Castlevania III: Dracula’s Curse,Software,ROM Cartridge,Game,Action-Adventure,Dracula’s Curse,,,,Konami,,,Konami,English,1990,,,,,,,,,,,NES,2013.06.112,2013-05-25,,,,
Double Dragon,Software,ROM Cartridge,Game,Beat 'Em Up,Double Dragon,,,,Technos Japan,Yoshihisa Kishimoto,,Taito Corporation,English,1988,,,,,,,,,,,NES,2013.06.113,2013-05-25,,,,
